event_title,event_id,event_type,event_start,event_end,exp_attendance,exp_participants,event_host,event_url,event_address,lat,long
San Diego Yoga Festival (4-day event),49176,ATHLETIC,2017-01-30 9:00,2017-01-30 15:00,750,100,San Diego Yoga Festival,www.sandiegoyogafestival.com,Newport Avenue & Abbott Street,32.7478167,-117.2526241
San Diego Lunar New Year TET Festival: 3-Day Event,48925,FESTIVAL,2017-01-29 11:00,2017-01-29 21:00,6000,300,The Vietnamese American Youth Alliance,www.sdtet.com,8575 New Salem Street,32.91517749,-117.1398683
2017 Hillcrest Farmers' Market (Sundays),48808,FARMERS,2017-01-29 9:00,2017-01-29 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485387,-117.1498828
Old Town Artisan's Market,49067,FARMERS,2017-01-29 9:00,2017-01-29 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
San Diego Yoga Festival (4-day event),49175,ATHLETIC,2017-01-29 8:00,2017-01-29 16:00,750,100,San Diego Yoga Festival,www.sandiegoyogafestival.com,Newport Avenue & Abbott Street,32.7478167,-117.2526241
Hip Hop Run,49166,ATHLETIC,2017-01-29 7:30,2017-01-29 9:30,800,50,Hip Hop Run,www.hiphoptun.com,1405 Park Boulevard,32.72045136,-117.1535122
2017 Farmer's Insurance Open - PGA Tour,49162,ATHLETIC,2017-01-29 6:00,2017-01-29 18:00,105000,156,Century Club of San Diego,www.farmersinsuranceopen.com,11480 North Torrey Pines Road,32.91230955,-117.2451863
San Diego Lunar New Year TET Festival: 3-Day Event,48924,FESTIVAL,2017-01-28 11:00,2017-01-28 22:00,6000,300,The Vietnamese American Youth Alliance,www.sdtet.com,8575 New Salem Street,32.91517749,-117.1398683
Freedom NOW Fair,48928,FESTIVAL,2017-01-28 11:00,2017-01-28 16:00,500,50,Bilateral Safety Corridor Coalition,www.thehopeprojectsd.com,3900 Ohio Street,32.74902162,-117.1291828
Golden Hill Certified Farmer's Market,48873,FARMERS,2017-01-28 9:30,2017-01-28 13:30,500/day,50,Brian's Farmer Markets,www.briansfarmermarkets.com,2700 block of B Street,32.7179192,-117.1360464
City Heights Farmer's Market (Every Saturday),48726,FARMERS,2017-01-28 9:00,2017-01-28 13:00,500/day,100,San Diego County Farm Bureau,www.sdfarmbureau.org,4300 Wightman Street,32.7479815,-117.1018393
Old Town Artisan's Market,49066,FARMERS,2017-01-28 9:00,2017-01-28 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
